PAREJA,Partner1,Partner2,Tanguito Cejas,Ricky Barrios,Facundo Piñeiro,Virginia Pandolfi,Laila Rezk,Silvia Alonso,PROMEDIO
410,Ramiro Andres Perez Caricchio,Evangelina Soledad Martinez,7.950,7.600,8.600,8.300,8.200,8.000,8.108
536,Marianella Michaud,Michael Thomas,8.400,7.800,7.900,8.200,8.300,8.000,8.100
217,Anna Brouver,Anton Sokoltchik,8.000,7.200,8.700,8.000,8.250,8.400,8.092
239,Juan Ignacio Braida,Daniela Pachame,8.150,8.000,8.000,7.900,8.500,8.000,8.092
393,Leonardo Adrián Beltrán,Maria Laura Gasparri,8.300,7.900,7.600,7.900,8.500,8.300,8.083
515,Luis Angel Rojas,Laura Velia de Lourdes Stessens,8.350,7.250,8.500,8.100,8.300,8.000,8.083
362,Francisco Coria,Yael Nahir Ferrarelli Fontanella,8.600,7.400,8.900,7.900,7.950,7.700,8.075
414,Andrés Rojas,Ana María Sandoval,7.950,7.600,8.750,7.800,8.000,8.300,8.067
529,Emanuel Avendaño,Marina Machado Riquelme,8.100,7.700,8.400,8.300,7.200,8.700,8.067
520,Angela Romina Cides,Esteban Adrian De Gregorio,8.200,7.700,8.200,7.800,8.500,8.000,8.067
387,Marcos Antonio Morinigo,Marcela Alejandra Subelza,8.200,7.700,8.200,8.400,8.000,7.900,8.067
99,Ezequiel Mendoza,Valeria Saavedra,8.400,7.950,8.100,7.900,7.500,8.500,8.058
140,Lucas Nicolás Cartagena,Lucila Inés Díaz Colodrero,8.050,8.500,7.800,8.000,7.500,8.500,8.058
38,Juan Ignacio Etcheverry,Veronica Beatriz Bachini,8.150,8.000,8.700,7.900,7.700,7.900,8.058
546,Magdalena Yrahola,Hector Colque,8.150,7.700,8.700,8.000,7.900,7.900,8.058
469,Dante Abel Culcuy,Veronica Elena Vazquez,8.300,7.950,7.800,8.000,8.000,8.300,8.058
131,Mario Sergio,Vanessa Jardim,7.850,7.850,8.200,8.150,8.400,7.900,8.058
403,Victor Cho,Candela Nuño,8.150,8.300,9.000,8.000,7.550,7.300,8.050
293,Daniel Lanceros,Macarena Marino,8.400,8.300,8.700,7.600,7.500,7.800,8.050
540,Caroline Calona,Nazareno Listur,8.300,8.200,7.800,8.000,7.760,8.200,8.043
53,Mauro Carabajal,Milena Hopkins,7.950,8.000,8.200,8.200,8.000,7.900,8.042
398,Luciano Millaqueo,Maria Celeste Cimino,8.700,8.300,7.600,7.900,7.600,8.100,8.033
402,Carlos Cisneros,Emma Lucia Reyes,8.550,7.200,7.600,7.800,8.150,8.800,8.017
123,Carlos Urrego,Maureen Muñoz,7.850,8.300,8.850,7.900,7.300,7.900,8.017
178,Mauro Alejandro Ramirez,Daniela Caterina Galarza Veron,8.050,8.000,7.800,8.200,8.150,7.900,8.017
539,Silvina Hirschfeld,Walter Schefer,8.200,7.400,7.900,8.000,7.950,8.600,8.008
229,Diego Churquina,Mariel Filadoro,8.450,7.000,7.700,7.700,8.600,8.600,8.008
8,Silas Adriazola,Anita Ponce,8.050,7.200,8.400,7.900,8.100,8.400,8.008
380,Krishna Olmedo,Valentina Massari,8.050,7.600,7.400,8.000,8.500,8.500,8.008
134,Maximiliano Gaston Chollet,Gisel Laura Beron,8.100,7.400,7.900,7.900,8.750,8.000,8.008
144,Damián Esell,Noelia Soldera,8.300,7.600,7.800,8.000,8.000,8.300,8.000
457,Julián Vilardo,Natasha Kaliszuk Lee,8.250,7.700,7.700,8.300,8.000,8.000,7.992
564,Iara Danila Duarte Gomez,Jesús Luis Paez,7.900,7.400,7.900,8.300,8.000,8.400,7.983
3,Sergio Saucet,Verónica Carina Pascual,8.050,8.000,7.400,8.300,8.000,8.100,7.975
462,David Mateu,Angela Meléndez,8.300,7.600,7.600,8.200,7.850,8.300,7.975
23,Rafael Luna,Rocio De La Torre,8.500,7.400,8.000,7.900,8.000,7.900,7.950
567,Juan Pablo Valdebenito,Rosario  Belen  Gimenez,8.400,7.750,7.500,8.300,8.000,7.700,7.942
522,Noelia Frias,Luis Canseco,7.850,8.300,7.700,7.800,8.000,8.000,7.942
382,Maximiliano Astorga,Eliana Vanesa  Coria,7.950,7.600,8.200,7.800,8.200,7.900,7.942
31,Julio Ariel Azorin,Belén Valdez,7.950,7.700,7.600,8.000,8.500,7.900,7.942
43,Roque Bravo,Elise Barbot,8.300,7.800,7.600,8.400,7.550,8.000,7.942
316,Jonathan Cañete,Micaela Marin,8.050,6.600,8.500,8.000,8.200,8.300,7.942
215,Fernando Osito Lima,Olivia Teixeira,8.550,7.650,8.500,8.000,6.500,8.400,7.933
329,Nany Peralta,Belen Cafasso,8.100,7.800,7.800,8.000,7.900,8.000,7.933
137,Dmitry Nesterov,Ekaterina Kliuchnikova,7.950,7.800,7.700,8.000,8.500,7.600,7.925
527,Massimo Giarola,Michela Conti,8.100,7.700,7.900,8.200,7.250,8.400,7.925
258,Jony Longoni,Negrita ruiz,7.900,8.400,7.800,7.900,7.850,7.700,7.925
319,Francis Aguilar,Selena Zini,8.600,7.200,7.500,7.900,8.000,8.300,7.917
141,Kevin Valencia,Valentina Villarreal,8.100,7.000,8.600,7.800,8.000,8.000,7.917
219,José María Coria,Micaela Dagnino,7.950,7.600,8.000,7.900,7.800,8.200,7.908
514,Alejandro Berón,Kelly Lettieri,7.950,7.000,8.000,8.200,7.800,8.500,7.908
268,Roxane Camargo,Liliana Chenlo,7.900,7.500,8.100,8.200,7.850,7.900,7.908
538,Javier Jofre,Paola Valdivia,8.700,7.200,8.000,7.500,7.950,8.000,7.892
237,Camilo Rubilar,Erika Urrutia Onel,8.050,7.600,7.900,7.900,8.000,7.900,7.892
517,Dmitrii Liferov,Margarita Beliakova,8.400,7.400,8.000,8.000,7.350,8.200,7.892
523,Gisela Mora,Mariano Molina,8.000,7.000,8.700,7.900,7.700,8.000,7.883
82,Adriel Cristhian Bournissen,María Soledad Mallo,8.000,7.100,7.750,7.600,8.550,8.200,7.867
331,Kelvin Cal,Camila Rocha,8.100,7.500,7.700,8.000,7.900,8.000,7.867
145,Juan Maria Ponce,Sara Elisa Rueda,8.150,7.800,8.100,8.000,7.250,7.900,7.867
320,Gerardo Juan Lecich Abraham,Silvana Alejandra Meneses Castillo,7.950,7.100,8.000,7.850,7.950,8.300,7.858
443,Jorge Federico Carrizo,Johanna Jezernicki,7.950,7.300,8.000,7.900,8.000,8.000,7.858
245,Daniel Edgardo Toloza,Analia Laura Alfaro,8.000,7.300,7.750,8.100,8.000,8.000,7.858
449,Ale Moisés Ocampo,Laura Alamo,8.200,6.800,7.600,8.100,8.000,8.400,7.850
173,Julio Rojas,Loreto Aparicio,8.050,7.300,7.900,7.950,8.000,7.900,7.850
334,Mateo Blandón,Milena Hidalgo Molina,8.050,7.900,7.500,8.000,7.600,8.000,7.842
284,Cristian Quevedo,Lucia Ferrer,8.000,7.000,7.800,7.700,7.930,8.600,7.838
288,Diego Sebastian Figueredo,Marilyn Mongui,8.050,7.600,8.300,7.500,7.200,8.300,7.825
358,Jorge Luis Albornoz,Catalina Rapuzio,7.900,7.200,8.200,8.000,7.650,8.000,7.825
498,Santiago Gil Hurtado,Valentina Restrepo Aguirre,8.200,7.400,7.600,8.000,7.750,8.000,7.825
450,Matias Goyeneche,Deysi Aguilera,7.950,8.000,7.650,7.600,7.700,8.000,7.817
240,Martin Cayesse,Maria Eugenia Corna,8.050,7.300,8.700,7.600,6.800,8.400,7.808
533,Jazmin Samec,Matías Persico,8.150,7.300,7.700,7.950,7.200,8.500,7.800
381,Horacio Sepúlveda,Yesica Saavedra,8.300,7.500,7.900,7.900,7.150,8.000,7.792
151,Sergio Decrin,Sandra Leal,8.450,7.700,7.800,7.600,7.200,8.000,7.792
535,Byron Torres,Sara Lupparelli,7.850,7.500,8.200,7.400,7.900,7.900,7.792
166,Mauricio Jose Gorbaran,Mariko Nakatsubo,7.700,7.200,7.550,7.900,7.850,8.500,7.783
302,Sebastian Motter,Aurora Chadoin,7.950,7.300,7.700,7.800,7.950,8.000,7.783
542,Rosana Luján Porres,Gustavo Fabián Ippolito,8.350,7.600,7.600,7.900,7.000,8.200,7.775
291,Jhonathan Pachón Giraldo,Suly Mayerli Pachón Giraldo,8.050,7.300,7.800,8.000,7.550,7.900,7.767
525,Marcela Patricia Jara,Luis Mario Saihueque,8.250,7.600,8.100,7.500,7.000,8.000,7.742
418,Carlos Martin Rodriguez Gonsalves,Idil Ceyhan,7.950,7.600,7.600,8.200,7.000,8.000,7.725
552,Vanesa Gonzalez,Sergio Mamani Fernandez,7.950,7.000,8.100,7.700,7.300,8.200,7.708
132,Adrian Vallejos,Lorena Garcia,8.050,7.300,7.900,7.900,7.000,7.900,7.675
548,Marina Esponda,Javier Lobos,7.900,7.400,8.900,7.600,7.000,7.200,7.667
177,Horacio Aspiroz,Sandra Luisa Curiel,8.200,7.900,7.100,7.800,7.000,8.000,7.667
194,Orlando Reyes,Adriana Salgado,7.750,7.300,7.900,7.900,7.800,7.300,7.658
465,Cristian Adrián Mosler,Ornella Lowenberg Pierucci,8.100,6.700,7.600,7.600,8.000,7.900,7.650
181,Sebastian Marco,Karina Hourcade,7.900,7.300,7.200,8.000,7.590,7.900,7.648
558,Veronica Rosati,Juan Carlos Lencina,8.050,7.400,7.300,7.700,7.100,7.900,7.575
556,Maria Ines Botas,Alejandro Montes de Oca,8.000,7.800,7.000,7.500,7.150,7.900,7.558
559,Silvia Fassio,Tony Barrios,8.050,7.700,7.000,7.500,7.500,7.500,7.542
88,Alejandro Ruiz Escamilla,Laura Judith Flores Sánchez,7.350,7.800,7.700,7.500,7.500,7.400,7.542
557,Alicia Rosalia Beliera,Juan Carlos Fernandez,8.200,7.000,7.000,7.500,7.550,7.900,7.525
105,Christian Emanuel Squeo,María Guadalupe Olivera,7.900,6.500,7.800,7.800,7.000,7.900,7.483
502,Ivan Franco,Rocio Montero,7.200,7.000,7.900,7.400,7.000,8.000,7.417
545,Paz Giorgi,Federico Perez Spinelli,6.950,7.150,8.000,7.500,6.800,8.000,7.400
